,date,is_belong_us,name,nr,patnr,refnr
30,October 2013,Y,Brandt et al.,nr13,8558694,31
31,October 2013,Y,Wohlwend et al.,nr13,8565735,32
32,November 2013,Y,Huston et al.,nr13,8589488,33
33,December 2013,Y,de Silva et al.,nr13,8606612,34
34,February 2014,Y,Nelissen et al.,nr13,8644847,35
35,April 2014,Y,Ben-Dayan et al.,nr13,8686852,36
36,April 2014,Y,Skeen et al.,nr13,8700659,37
37,May 2014,Y,Lau et al.,nr13,8725165,38
38,June 2014,Y,Norton,nr13,8761797,39
39,July 2014,Y,Farmer,nr13,8768375,40
40,September 2014,Y,Hymel et al.,nr13,8825084,41
41,September 2014,Y,Ginn et al.,nr13,8831577,42
42,September 2014,Y,Vaananen,nr13,8838566,43
43,September 2014,Y,Fan et al.,nr13,8849310,44
44,November 2014,Y,"Kane, Jr. et al.",nr13,8886584,45
45,December 2014,Y,Bates et al.,nr13,8924250,46
46,March 2015,Y,Sandel et al.,nr13,8989773,47
